,address_line1,city,food_type,food_type1,location,number_of_reviews,restaurant_name,review_score
0,King Saud Road,Eastern_Province,", International, Vegan Options, Vegetarian Friendly", International,"King Saud Road, Al Khobar 31952 Saudi Arabia",101, Kempinski Al Othman Hotel,5.0
1,Prince Musaed Street Dughaither Leisure Island,Eastern_Province,", Seafood, International, Mediterranean", Seafood,"Prince Musaed Street Dughaither Leisure Island, Al Khobar Saudi Arabia",916, Al-Sanbok Seafood Restaurant,4.5
2,Prince Musaid Street,Eastern_Province,", Japanese, Sushi, Asian", Japanese,"Prince Musaid Street, 34425 Al Khobar, Al Khobar Saudi Arabia",59, Taki Restaurant,5.0
3,King Saud Road Kempinski Al Othman Hotel,Eastern_Province,"  , Italian, Pizza, Romana", Italian,"King Saud Road Kempinski Al Othman Hotel, Al Khobar 31952 Saudi Arabia",56, il Vero,5.0
4,Fouad Center _ Corniche Street,Eastern_Province,"  , American, Steakhouse, Vegetarian Friendly", American,"Fouad Center _ Corniche Street, Al Khobar Saudi Arabia",331, Outback Steakhouse,4.0
5,Al Shati 3rd St Al Danah Rd Fanateer Cornich,Eastern_Province,"  , Brazilian, Barbecue, Grill", Brazilian,"Al Shati 3rd St Al Danah Rd Fanateer Cornich, Block 3, Lot No.15, Al Jubail 35814 Saudi Arabia",116, Brasa De Brazil,4.5
6,Prince Turkey Road,Eastern_Province,"  , Italian, Pizza, European", Italian,"Prince Turkey Road, Al Khobar 31952 Saudi Arabia",355, Piatto Restaurant - Al Khobar,4.0
7,2/F Le Meridien Al Khobar,Eastern_Province,", Japanese, Sushi, Asian", Japanese,"2/F Le Meridien Al Khobar, Corniche Road, Al Khobar 31952 Saudi Arabia",119, Fusion Seafood & Sushi,4.5
8,King Abdullah Street Crowne Plaza,Eastern_Province,", Seafood, Mediterranean, European", Seafood,"King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia",194, Primavera Restaurant,4.5
9,Jubail Corniche,Eastern_Province,"  , American, Steakhouse, Vegetarian Friendly", American,"Jubail Corniche, Al Jubail 11373 Saudi Arabia",222, Steak House,4.0
10,Prince Musaed Street Cross 10,Eastern_Province,"  , Italian, Pizza, Mediterranean", Italian,"Prince Musaed Street Cross 10, Al Khobar 31952 Saudi Arabia",300, La Gondola Restaurant,4.0
11,Faisal Al Saud Street,Eastern_Province,"  , Seafood, International, Halal", Seafood,"Faisal Al Saud Street, Al Khobar 34422 Saudi Arabia",107, The Blue Restaurant,4.5
12,101 Street Al Sanaiyah,Eastern_Province,"  , Middle Eastern, International, Vegetarian Friendly", Middle Eastern,"101 Street Al Sanaiyah, Al Jubail 31961 Saudi Arabia",116, Al Tuwayah Buffet Restaurant,4.5
13,King Abdullah Street Crowne Plaza,Eastern_Province,"  , Moroccan, Mediterranean, Middle Eastern", Moroccan,"King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia",153, Marrakesh Restaurant,4.5
14,Prince Turkey Street,Eastern_Province,"  , Steakhouse, Barbecue, Halal", Steakhouse,"Prince Turkey Street, Al Khobar Saudi Arabia",93, The Butcher Shop and Grill,4.5
15,On the same side as the Tammimi Safeway Supermarkets down on the Corniche,Eastern_Province,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"On the same side as the Tammimi Safeway Supermarkets down on the Corniche, Dammam Saudi Arabia",192, Abu Nawas,4.0
16,Al Malik Khalid Street Al Ahsa Intercontinetal,Eastern_Province,", International, Mediterranean, Middle Eastern", International,"Al Malik Khalid Street Al Ahsa Intercontinetal, Al Ahsa 31982 Saudi Arabia",38, The Med,5.0
17,Prince Faisal Bin Fahd Road,Eastern_Province,"  , Seafood, Sushi, Asian", Seafood,"Prince Faisal Bin Fahd Road, Al Khobar 34433 Saudi Arabia",280, Soul Kitchen,4.0
18,Adanah Road,Eastern_Province,"  , Steakhouse, American, Vegetarian Friendly", Steakhouse,"Adanah Road,, Al Jubail Saudi Arabia",77, Outback Steakhouse Jubail,4.5
19,14th Street Al Khobar Corniche,Eastern_Province,", Pakistani, Indian, Asian", Pakistani,"14th Street Al Khobar Corniche, Al Khobar 34427 Saudi Arabia",315, Talwar - Indian Restaurant,4.5
20,Intercontinental Hotel,Eastern_Province,"  , Mexican, International, Vegetarian Friendly", Mexican,"Intercontinental Hotel, Al Jubail 101 St Al- Sinaiyah, Al Jubail 31961 Saudi Arabia",147, The Ranch Restaurant,4.5
21,Corniche Street,Eastern_Province,"  , Middle Eastern, Halal, Vegetarian Friendly", Middle Eastern,"Corniche Street, Dammam, Dammam Saudi Arabia",130, Heritage Village,4.0
22,King Fahd Rd Al Hizam Al Akhdar,Eastern_Province,"  , French, Cafe, European", French,"King Fahd Rd Al Hizam Al Akhdar, Al Khobar 34433 Saudi Arabia",149, Madeleine French Bakery & Brasserie,4.0
23,Sofitel,Eastern_Province,", International, Middle Eastern, Vegetarian Friendly", International,"Sofitel, Al Khobar Saudi Arabia",69, Cafe Chic Sofitel Al Khobar,4.5
24,Khobar Waterfront,Eastern_Province,"  , French, Cafe, European", French,"Khobar Waterfront, Prince Turki Corniche Rd Al Khobar, Ash Sharqiyah, Dhahran 34427 Saudi Arabia",96, Pattis France,4.5
25,Prince Faisal Bin Fahad Road Khobar North Al Khobar,Eastern_Province,"  , Lebanese, Fast Food, Mediterranean", Lebanese,"Prince Faisal Bin Fahad Road Khobar North Al Khobar, Dammam 34426 Saudi Arabia",107, Manoosha Alreef,4.0
26,Al Corniche,Eastern_Province,"  , Japanese, Seafood, Sushi", Japanese,"Al Corniche, Al Khobar Saudi Arabia",155, Fushi,4.0
27,King Khaled Street Intercontinental Hotel,Eastern_Province,"  , Lebanese, Middle Eastern, Mediterranean", Lebanese,"King Khaled Street Intercontinental Hotel, Al Ahsa Saudi Arabia",50, Al Bustan,4.5
28,Corniche Road Fanateer,Eastern_Province,"  , American, Vegetarian Friendly", American,"Corniche Road Fanateer, Al Jubail Saudi Arabia",103, Fuddruckers,4.0
29,Le Meridien Al Khobar,Eastern_Province,", Italian, Mediterranean, European", Italian,"Le Meridien Al Khobar, Al Khobar 31952 Saudi Arabia",44, Leonardo Restaurant,5.0
30,Corniche Road,Eastern_Province,"  , Brazilian, Barbecue, Halal", Brazilian,"Corniche Road, Dammam Saudi Arabia",88, Brasa de Brasil Churrascaria,4.0
31,King Faisal Road Ground Floor,Eastern_Province,"  , American, International, European", American,"King Faisal Road Ground Floor, Khobar Pavilion Mall, Al Khobar Saudi Arabia",21, The Breakfast Club,5.0
32,Al Yarmuk St,Eastern_Province,"  , Middle Eastern, Halal", Middle Eastern,"Al Yarmuk St, Al Khobar Saudi Arabia",143, Restaurant Khobar Traditional Village,4.0
33,Ibn Bassam Al Andalusi,Eastern_Province,"  , Fast Food, Deli, Grill", Fast Food,"Ibn Bassam Al Andalusi, Al Khobar 31952 Saudi Arabia",91, Quick Bites,4.5
34,Prince Homoud St. Cross 22,Eastern_Province,", Italian, Pizza, Fast Food", Italian,"Prince Homoud St. Cross 22, Al Khobar Saudi Arabia",142, Pizzarific,4.5
35,Mall of Dhahran Blvd Dhahran Mall,Eastern_Province,"  , Chinese, Asian, Thai", Chinese,"Mall of Dhahran Blvd Dhahran Mall, Al Khobar Saudi Arabia",113, Bamboo Kitchen,4.0
36,Al Shati 3rd St Al Danah Rd,Eastern_Province,"  , Chinese, Indian, Seafood", Chinese,"Al Shati 3rd St Al Danah Rd, Al Jubail Saudi Arabia",36, Taya Restaurant,5.0
37,Prince Mohammed Bin Fahd Street Yaqoot Intersection,Eastern_Province,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"Prince Mohammed Bin Fahd Street Yaqoot Intersection, Dammam Saudi Arabia",163, Beit Misk,4.0
38,First Street,Eastern_Province,"  , Lebanese, Middle Eastern, Mediterranean", Lebanese,"First Street, Dammam 5397 Saudi Arabia",57, Fayrouz Lebanese Restaurant,4.0
39,Al-Dhugaither leisure Island Corniche Al-Khober Open Buffet Per Head SR 160 for adults ,Eastern_Province,"  , Steakhouse, Brazilian, Barbecue", Steakhouse,"Al-Dhugaither leisure Island Corniche Al-Khober Open Buffet Per Head SR 160 for adults , SR 80 for Kids above 10 years kids under 5 are Free., Al Khobar Saudi Arabia",139, Brasa de Brazil,4.0
40,Dammam Saudi Arabia,Eastern_Province,", Lebanese, Fast Food, Mediterranean", Lebanese,Dammam Saudi Arabia,25, Hamra Chicken,5.0
41,1st Street King Fahad Street,Eastern_Province,"  , Chinese, Indian, Fusion", Chinese,"1st Street King Fahad Street, Al Khobar 31952 Saudi Arabia",73, Classic Restaurant,4.0
42,Prince Turky Road Fouad Centre,Eastern_Province,"  , Fast Food, American, Halal", Fast Food,"Prince Turky Road Fouad Centre, Al Khobar 31952 Saudi Arabia",178, BurgerFuel Fouad Center,4.0
43,Fanateer,Eastern_Province,", Middle Eastern, Lebanese, Vegetarian Friendly", Middle Eastern,"Fanateer, City Center AlKhamis RD, 35811, Al Jubail Saudi Arabia",68, Grillo,4.0
44,Huwalyat Center Al Huwaylat District,Eastern_Province,"  , American", American,"Huwalyat Center Al Huwaylat District, Al Jubail Saudi Arabia",107, Applebee's,3.5
45,King Saud Road,Eastern_Province,", International, Barbecue, Grill", International,"King Saud Road, Al Khobar 31952 Saudi Arabia",29, Al Diwan,4.5
